reason,source_file,sheet,row,client,audit_type,best_candidate,second_candidate,unmatched_people,conflicts
"project_match_conflict; team_conflict",1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,19,ЧК Ellinton Group KAZ ltd,Аудит ФО,ТОО KAZ Intel Group (68),Частная компания «Ellington Group KAZ» Ltd (68),,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Шынгыс Сартаев
project_match_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,21,ЧК Kazakhstan Investment Development Fund,Аудит ФО,«Kazakhstan Investment Development Fund (KIDF) Management Company» Ltd. (85),"Товарищество с ограниченной ответственностью Documentolog - 1.1. Заказчик поручает и оплачивает, а Исполнитель
принимает на себя обязательство по оказанию
Заказчику услуг по проведению:
1.1.1. аудита финансовой отчетности ТОО
Documentolog, за 2023-2025 годы, в соответствии с
МСФО и МСА. Валюта презентации финансовой
отчетности – в долларах США или в тенге;
1.1.2. аудита финансовой отчетности Частной
компании Documentolog Global Limited, за 2023-
2025 годы, в соответствии с МСФО и МСА. Валюта
презентации финансовой отчетности – в долларах
США или в тенге;
1.1.3. аудита финансовой отчетности Частной
компании открытого инвестиционного типа IT
Development Fund OEIC Ltd., за 2024-2025 годы, в
соответствии с МСФО и МСА. Валюта презентации
финансовой отчетности – в долларах США или в
тенге (далее – услуги/Услуги). (84)",,
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,22,FinQ,Аудит ФО,ТОО «FinQ» (170),,,partner differs: existing ba3d0a39-e789-4eed-8890-64dca41dbdd9 vs Кенжекулов Адилжан Абдикалыкович
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,34,Eurasian Development Bank,Аудит ФО,"Товарищество с ограниченной ответственностью Documentolog - 1.1. Заказчик поручает и оплачивает, а Исполнитель
принимает на себя обязательство по оказанию
Заказчику услуг по проведению:
1.1.1. аудита финансовой отчетности ТОО
Documentolog, за 2023-2025 годы, в соответствии с
МСФО и МСА. Валюта презентации финансовой
отчетности – в долларах США или в тенге;
1.1.2. аудита финансовой отчетности Частной
компании Documentolog Global Limited, за 2023-
2025 годы, в соответствии с МСФО и МСА. Валюта
презентации финансовой отчетности – в долларах
США или в тенге;
1.1.3. аудита финансовой отчетности Частной
компании открытого инвестиционного типа IT
Development Fund OEIC Ltd., за 2024-2025 годы, в
соответствии с МСФО и МСА. Валюта презентации
финансовой отчетности – в долларах США или в
тенге (далее – услуги/Услуги). (84)",ТОО «Enterprise Development Group» (60),,partner differs: existing c7fc625d-7836-4eed-90bb-b14541040f42 vs Жумадилов Бакыт
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,43,ТОО Кен Курылыс Сервис,Аудит ФО,ТОО Кен-Курылыс-Сервис (за период 2022-2024) (170),ТОО «Кумколь Транс Сервис» (7),,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Сауле Бадамбаева
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,45,ТОО Oil Construction Company,Аудит ФО,ТОО «Oil Construction Company» (за период 2022-2024) (170),ТОО «Oil Construction Company» (за период 2025-2027) (90),,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Сауле Бадамбаева
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,48,ТОО Oil Service Company,Аудит ФО,ТОО «OIL SERVICES COMPANY» (за период 2023-2027) (85),ТОО «Oil Construction Company» (за период 2022-2024) (60),,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Сауле Бадамбаева
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,50,Национальная Инвестиционная корпорация Нац Банка Казахстана,Аудит ФО,"Акционерное общество ""Национальная платежная корпорация Национального Банка Республики Казахстан"" - АУДИТ за 2024 (87)",АО «Национальная платежная корпорация Национального Банка Республики Казахстан» (75),,partner differs: existing ba3d0a39-e789-4eed-8890-64dca41dbdd9 vs Шынгыс Сартаев
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,55,ТОО Женис Оперейтинг,Аудит ФО,ТОО Женис Оперейтинг (за период 2023-2025) (170),ТОО «Аль-Фараби Оперейтинг» (60),,partner differs: existing 3ceb66d6-1ecf-4ab2-8a98-aa2436b9d0fd vs Кенжекулов Адилжан Абдикалыкович
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,59,ТОО Озенмунайсервис,Аудит ФО,ТОО Озенмунайсервис (за период 2023-2025) (170),,,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Сауле Бадамбаева
